Cell,Cyc,Type,Delta,v,q,T,t_remain
Cell1,cyc0000,C1ch,1150,3.7966361000000006,237.3420122596571,39.739349,2359
Cell1,cyc0000,C1ch,1200,3.8016086000000002,247.66128863133068,39.627037,2309
Cell1,cyc0000,C1ch,1250,3.8050572999999996,257.9806985314263,39.502216,2259
Cell1,cyc0000,C1ch,1300,3.8077843000000002,268.30005743556717,39.477245,2209
Cell1,cyc0000,C1ch,1350,3.8097091,278.6193202776489,39.427299,2159
Cell1,cyc0000,C1ch,1400,3.8119147000000004,288.93859765605333,39.402332,2109
Cell1,cyc0000,C1ch,1450,3.8136392,299.2578436848721,39.477245,2059
Cell1,cyc0000,C1ch,1500,3.8158847999999996,309.5769748282675,39.452273999999996,2009
Cell1,cyc0000,C1ch,1550,3.8181305,319.8960761520758,39.427299,1959
Cell1,cyc0000,C1ch,1600,3.8206968,330.2152039837341,39.51468300000001,1909
Cell1,cyc0000,C1ch,1650,3.823143,340.53429451998903,39.577095,1859
Cell1,cyc0000,C1ch,1700,3.8263512000000004,350.85352675462855,39.602062,1809
Cell1,cyc0000,C1ch,1750,3.8299602999999998,361.17282180402964,39.627037,1759
Cell1,cyc0000,C1ch,1800,3.8335295,371.4920417813178,39.602062,1709
Cell1,cyc0000,C1ch,1850,3.837780200000001,381.81134636203336,39.676941,1659
Cell1,cyc0000,C1ch,1900,3.8425121,392.1306105280253,39.801758,1609
Cell1,cyc0000,C1ch,1950,3.8479660000000004,402.44992591320465,39.776787,1559
Cell1,cyc0000,C1ch,2000,3.8537407,412.769244058414,39.8517,1509
Cell1,cyc0000,C1ch,2050,3.8600366000000004,423.088555326511,39.889140999999995,1459
Cell1,cyc0000,C1ch,2100,3.8666131,433.40792891508653,39.939083000000004,1409
Cell1,cyc0000,C1ch,2150,3.8735907,443.7272831068692,40.001495,1359
Cell1,cyc0000,C1ch,2200,3.8811699999999996,454.0465583853556,40.051395,1309
Cell1,cyc0000,C1ch,2250,3.8887894,464.3657085884908,40.076370000000004,1259
Cell1,cyc0000,C1ch,2300,3.8970101,474.6848532955152,40.038928999999996,1209
Cell1,cyc0000,C1ch,2350,3.9057522000000002,485.0041431599867,40.16375,1159
Cell1,cyc0000,C1ch,2400,3.9147351,495.3234889376288,40.238625,1109
Cell1,cyc0000,C1ch,2450,3.9242392,505.64283329689204,40.263599,1059
Cell1,cyc0000,C1ch,2500,3.9342243999999997,515.9620314397583,40.201187,1009
Cell1,cyc0000,C1ch,2550,3.9444101000000003,526.2812227475008,40.251133,959
Cell1,cyc0000,C1ch,2600,3.9551572999999998,536.6003646165093,40.326008,909
Cell1,cyc0000,C1ch,2650,3.9658644,546.9196974845717,40.37595,859
Cell1,cyc0000,C1ch,2700,3.9766917,557.2390668230285,40.326008,809
Cell1,cyc0000,C1ch,2750,3.9879203000000003,567.5583833551433,40.238625,759
Cell1,cyc0000,C1ch,2800,3.9997101,577.8776818074816,40.413387,709
Cell1,cyc0000,C1ch,2850,4.0115399,588.1969217415093,40.363483,659
Cell1,cyc0000,C1ch,2900,4.0235705,598.5162268462358,40.338512,609
Cell1,cyc0000,C1ch,2950,4.0358013999999995,608.835387489858,40.326008,559
Cell1,cyc0000,C1ch,3000,4.0488343,619.1545433701037,40.363483,509
Cell1,cyc0000,C1ch,3050,4.0631905,629.4736629864399,40.388416,459
Cell1,cyc0000,C1ch,3100,4.077908,639.7927281667413,40.413387,409
Cell1,cyc0000,C1ch,3150,4.0918231,650.1119216301678,40.28857,359
Cell1,cyc0000,C1ch,3200,4.1053777,660.4312100704752,40.226158,309
Cell1,cyc0000,C1ch,3250,4.1190519,670.7505707057836,40.251133,259
Cell1,cyc0000,C1ch,3300,4.1332479,681.0696130660131,40.213692,209
Cell1,cyc0000,C1ch,3350,4.1478047,691.3880358081155,40.113808,159
Cell1,cyc0000,C1ch,3400,4.1632037,701.7044004262865,40.176216,109
Cell1,cyc0000,C1ch,3450,4.1794047,712.0191798530818,40.113808,59
Cell1,cyc0000,C1ch,3500,4.1968087999999995,722.3329913227948,40.113808,9
Cell1,cyc0000,C1ch,3509,4.1999769,724.1208914093187,40.113808,0
Cell1,cyc0100,C1ch,0,2.7196142999999995,0.0,40.980995,3463
Cell1,cyc0100,C1ch,50,3.1696086,10.31754924793837,40.712971,3413
Cell1,cyc0100,C1ch,100,3.2939233999999997,20.63507732555474,40.58815,3363
Cell1,cyc0100,C1ch,150,3.3780962999999997,30.95293073008557,40.350978999999995,3313
Cell1,cyc0100,C1ch,200,3.4424593,41.27177498176066,40.251133,3263
Cell1,cyc0100,C1ch,250,3.4928269,51.59067443233914,40.126312,3213
Cell1,cyc0100,C1ch,300,3.5291989000000004,61.90961789974637,40.026463,3163
Cell1,cyc0100,C1ch,350,3.5487684999999995,72.22856604300605,39.964054,3113
Cell1,cyc0100,C1ch,400,3.5635660000000002,82.54807304247367,40.076370000000004,3063
Cell1,cyc0100,C1ch,450,3.5780828000000002,92.86794061538015,40.076370000000004,3013
Cell1,cyc0100,C1ch,500,3.5932412000000005,103.18782338084921,40.063904,2963
Cell1,cyc0100,C1ch,550,3.6097229,113.507845692037,40.126312,2913
Cell1,cyc0100,C1ch,600,3.627207,123.82793483189221,40.151283,2863
Cell1,cyc0100,C1ch,650,3.6460546999999996,134.14797516243829,40.151283,2813
Cell1,cyc0100,C1ch,700,3.6663864,144.46799585790342,40.113808,2763
Cell1,cyc0100,C1ch,750,3.6873193,154.78778588025585,40.151283,2713
Cell1,cyc0100,C1ch,800,3.7078912000000006,165.1075218047316,40.176216,2663
Cell1,cyc0100,C1ch,850,3.7275812999999993,175.4273732667135,40.101341,2613
Cell1,cyc0100,C1ch,900,3.7452259,185.7472066749844,40.063904,2563
Cell1,cyc0100,C1ch,950,3.7608654,196.06695022074382,39.988987,2513
Cell1,cyc0100,C1ch,1000,3.7734572999999996,206.3866924621955,39.876675,2463
Cell1,cyc0100,C1ch,1050,3.7839239,216.70659904392159,39.826733000000004,2413
Cell1,cyc0100,C1ch,1100,3.791503,227.02650849892845,39.726883,2363
Cell1,cyc0100,C1ch,1150,3.7973177000000002,237.3466323183526,39.676941,2313
Cell1,cyc0100,C1ch,1200,3.8018894,247.6667870127496,39.527149,2263
Cell1,cyc0100,C1ch,1250,3.8056588,257.9868921776564,39.477245,2213
Cell1,cyc0100,C1ch,1300,3.8083456,268.306919707923,39.464741,2163
Cell1,cyc0100,C1ch,1350,3.8105512000000004,278.6270067798971,39.452273999999996,2113
Cell1,cyc0100,C1ch,1400,3.8125962999999996,288.9470928825786,39.377399,2063
Cell1,cyc0100,C1ch,1450,3.8149222999999997,299.2672291364644,39.327453999999996,2013
Cell1,cyc0100,C1ch,1500,3.8168873999999997,309.5872466317274,39.402332,1963
Cell1,cyc0100,C1ch,1550,3.8194537000000004,319.9071032043355,39.489712,1913
Cell1,cyc0100,C1ch,1600,3.8219802000000014,330.22688282725017,39.477245,1863
Cell1,cyc0100,C1ch,1650,3.8252685,340.546608076928,39.502216,1813
Cell1,cyc0100,C1ch,1700,3.8284366000000003,350.86637832205537,39.527149,1763
Cell1,cyc0100,C1ch,1750,3.8324065000000003,361.1861847540792,39.614529,1713
Cell1,cyc0100,C1ch,1800,3.8366572999999997,371.5060240592685,39.664474,1663
Cell1,cyc0100,C1ch,1850,3.8415899,381.82587466680917,39.739349,1613
Cell1,cyc0100,C1ch,1900,3.8468833,392.1456622041728,39.701912,1563
Cell1,cyc0100,C1ch,1950,3.8524973,402.4649105991177,39.76432,1513
Cell1,cyc0100,C1ch,2000,3.8589137000000004,412.7842532647705,39.901646,1463
Cell1,cyc0100,C1ch,2050,3.8652496,423.1037216966553,39.864166,1413
Cell1,cyc0100,C1ch,2100,3.8722675000000004,433.4230888727824,39.876675,1363
Cell1,cyc0100,C1ch,2150,3.879606,443.7424402340868,39.97652100000001,1313
Cell1,cyc0100,C1ch,2200,3.8875461000000002,454.0618973227572,40.038928999999996,1263
Cell1,cyc0100,C1ch,2250,3.8956466,464.38123695949287,40.113808,1213
Cell1,cyc0100,C1ch,2300,3.904469,474.7005105830757,40.051395,1163
Cell1,cyc0100,C1ch,2350,3.9132512000000004,485.0191052395766,40.101341,1113
Cell1,cyc0100,C1ch,2400,3.9228356,495.3376445859951,40.188721,1063
Cell1,cyc0100,C1ch,2450,3.9329009,505.6557272299736,40.201187,1013
Cell1,cyc0100,C1ch,2500,3.9429665000000003,515.973417965071,40.238625,963
Cell1,cyc0100,C1ch,2550,3.9534731,526.290972216,40.226158,913
Cell1,cyc0100,C1ch,2600,3.9647415,536.6086539540947,40.251133,863
Cell1,cyc0100,C1ch,2650,3.975529,546.9263161237624,40.326008,813
Cell1,cyc0100,C1ch,2700,3.9871182000000003,557.24403521167,40.213692,763
Cell1,cyc0100,C1ch,2750,3.9984269,567.561862851125,40.226158,713
Cell1,cyc0100,C1ch,2800,4.010497099999999,577.8796910296156,40.301033000000004,663
Cell1,cyc0100,C1ch,2850,4.0221667000000005,588.1974925799152,40.238625,613
Cell1,cyc0100,C1ch,2900,4.0345583,598.5153718870172,40.326008,563
Cell1,cyc0100,C1ch,2950,4.0475111,608.8333222142097,40.338512,513
Cell1,cyc0100,C1ch,3000,4.0619879,619.1510987899374,40.276104,463
Cell1,cyc0100,C1ch,3050,4.076745,629.4680659558072,40.37595,413
Cell1,cyc0100,C1ch,3100,4.09058,639.7851042613082,40.213692,363
Cell1,cyc0100,C1ch,3150,4.1040139,650.1017627199741,40.226158,313
Cell1,cyc0100,C1ch,3200,4.1178489,660.417662799391,40.151283,263
Cell1,cyc0100,C1ch,3250,4.1323657,670.7335784513381,40.126312,213
Cell1,cyc0100,C1ch,3300,4.1468023999999994,681.0494626665311,40.16375,163
Cell1,cyc0100,C1ch,3350,4.1620406999999995,691.3653493027208,40.113808,113
Cell1,cyc0100,C1ch,3400,4.1784023999999995,701.6812968392502,40.16375,63
Cell1,cyc0100,C1ch,3450,4.1954455,711.9973497813586,40.101341,13
Cell1,cyc0100,C1ch,3463,4.200017,714.5350426825697,40.176216,0
Cell1,cyc0200,C1ch,0,2.7197744999999998,0.0,41.243099,3440
Cell1,cyc0200,C1ch,50,3.170531,10.316519587239581,40.737942,3390
Cell1,cyc0200,C1ch,100,3.2951665,20.63295476382446,40.575645,3340
Cell1,cyc0200,C1ch,150,3.3799009,30.949505824713807,40.388416,3290
Cell1,cyc0200,C1ch,200,3.443943,41.266157686574296,40.201187,3240
Cell1,cyc0200,C1ch,250,3.4941904999999998,51.58279362022908,40.076370000000004,3190
Cell1,cyc0200,C1ch,300,3.5308029999999997,61.89937852762858,40.026463,3140
Cell1,cyc0200,C1ch,350,3.5509741000000004,72.2160591573283,39.97652100000001,3090
Cell1,cyc0200,C1ch,400,3.565932,82.53322801830376,40.138779,3040
Cell1,cyc0200,C1ch,450,3.5804486000000004,92.85118027322727,40.051395,2990
Cell1,cyc0200,C1ch,500,3.5962086,103.1691201813117,40.113808,2940
Cell1,cyc0200,C1ch,550,3.6126101000000004,113.4870887556695,40.151283,2890
Cell1,cyc0200,C1ch,600,3.6308562999999996,123.8050336525235,40.088875,2840
Cell1,cyc0200,C1ch,650,3.6502254,134.1228457877502,40.088875,2790
Cell1,cyc0200,C1ch,700,3.6707572999999996,144.4406820466987,40.113808,2740
Cell1,cyc0200,C1ch,750,3.6918910000000014,154.7586129549459,40.101341,2690
Cell1,cyc0200,C1ch,800,3.7125833,165.07663609326167,40.138779,2640
Cell1,cyc0200,C1ch,850,3.7321527000000003,175.3946090089383,40.076370000000004,2590
Cell1,cyc0200,C1ch,900,3.7487947999999998,185.7131005159437,40.038928999999996,2540
Cell1,cyc0200,C1ch,950,3.7633517,196.0318558662821,39.964054,2490
Cell1,cyc0200,C1ch,1000,3.7757833,206.3514083718465,39.926579,2440
Cell1,cyc0200,C1ch,1050,3.7852873999999996,216.671199660831,39.814265999999996,2390
Cell1,cyc0200,C1ch,1100,3.7925055,226.9909454926284,39.701912,2340
Cell1,cyc0200,C1ch,1150,3.7980397000000004,237.3107144805162,39.55212,2290
Cell1,cyc0200,C1ch,1200,3.8024507000000014,247.6302141860351,39.464741,2240
Cell1,cyc0200,C1ch,1250,3.8057792,257.9493146063436,39.414833,2190
Cell1,cyc0200,C1ch,1300,3.8089470999999997,268.2684384617038,39.364891,2140
Cell1,cyc0200,C1ch,1350,3.810832,278.58767086801817,39.314987,2090
Cell1,cyc0200,C1ch,1400,3.8129172,288.9070041323039,39.364891,2040
Cell1,cyc0200,C1ch,1450,3.8152833,299.2261928151211,39.427299,1990
Cell1,cyc0200,C1ch,1500,3.8174486000000014,309.5446995348172,39.402332,1940
Cell1,cyc0200,C1ch,1550,3.8199351000000004,319.8632162123922,39.439808,1890
Cell1,cyc0200,C1ch,1600,3.822742,330.18176881757614,39.477245,1840
Cell1,cyc0200,C1ch,1650,3.8260705,340.50018175534063,39.502216,1790
Cell1,cyc0200,C1ch,1700,3.8300004,350.81843291367926,39.527149,1740
Cell1,cyc0200,C1ch,1750,3.8336898999999995,361.136641067315,39.65197,1690
Cell1,cyc0200,C1ch,1800,3.8383013999999998,371.4549691059061,39.789291,1640
Cell1,cyc0200,C1ch,1850,3.8433542000000003,381.77335715827087,39.664474,1590
Cell1,cyc0200,C1ch,1900,3.8488884,392.09169964931573,39.739349,1540
Cell1,cyc0200,C1ch,1950,3.8548233999999995,402.4100268950941,39.801758,1490
Cell1,cyc0200,C1ch,2000,3.8615203,412.72822460580437,39.901646,1440
Cell1,cyc0200,C1ch,2050,3.8680968,423.04656664787115,39.964054,1390
Cell1,cyc0200,C1ch,2100,3.8750345999999998,433.3649854590727,39.95155,1340
Cell1,cyc0200,C1ch,2150,3.8827341,443.6834369483846,39.988987,1290
Cell1,cyc0200,C1ch,2200,3.8905937999999995,454.00188147535204,39.988987,1240
Cell1,cyc0200,C1ch,2250,3.8989751000000004,464.3203047536756,40.138779,1190
Cell1,cyc0200,C1ch,2300,3.9078777000000002,474.63865576911417,40.113808,1140
Cell1,cyc0200,C1ch,2350,3.9170608999999996,484.95695318228485,40.151283,1090
Cell1,cyc0200,C1ch,2400,3.9266449999999997,495.2752523786316,40.176216,1040
Cell1,cyc0200,C1ch,2450,3.9367507000000006,505.5935873982815,40.238625,990
Cell1,cyc0200,C1ch,2500,3.9472973,515.9119452929823,40.188721,940
Cell1,cyc0200,C1ch,2550,3.957804,526.2303953189596,40.251133,890
Cell1,cyc0200,C1ch,2600,3.969233,536.5488112063633,40.263599,840
Cell1,cyc0200,C1ch,2650,3.9803812999999995,546.8672783831347,40.263599,790
Cell1,cyc0200,C1ch,2700,3.9918501,557.1855575538567,40.238625,740
Cell1,cyc0200,C1ch,2750,4.0035195,567.5031719567735,40.313541,690
Cell1,cyc0200,C1ch,2800,4.0157104,577.8206894410638,40.276104,640
Cell1,cyc0200,C1ch,2850,4.027741000000002,588.1382201605664,40.263599,590
Cell1,cyc0200,C1ch,2900,4.0404129,598.4558302726848,40.363483,540
Cell1,cyc0200,C1ch,2950,4.0538468,608.7733799947307,40.313541,490
Cell1,cyc0200,C1ch,3000,4.0686444999999996,619.0907333328348,40.326008,440
Cell1,cyc0200,C1ch,3050,4.083121299999998,629.4072794725307,40.276104,390
Cell1,cyc0200,C1ch,3100,4.0967555,639.7239827212082,40.201187,340
Cell1,cyc0200,C1ch,3150,4.1105103,650.0406163476835,40.176216,290
Cell1,cyc0200,C1ch,3200,4.1246662,660.3573605041809,40.126312,240
Cell1,cyc0200,C1ch,3250,4.138782,670.674238944068,40.126312,190
Cell1,cyc0200,C1ch,3300,4.1538601,680.9911433727823,40.138779,140
Cell1,cyc0200,C1ch,3350,4.169219,691.30794649921,40.063904,90
Cell1,cyc0200,C1ch,3400,4.1859012,701.6248056634148,40.126312,40
Cell1,cyc0200,C1ch,3440,4.1998968,709.8543464961379,40.16375,0
Cell1,cyc0300,C1ch,0,2.7206407,0.0,40.928558,3426
Cell1,cyc0300,C1ch,50,3.1674267999999994,10.3136073050571,40.650558000000004,3376
Cell1,cyc0300,C1ch,100,3.2929046000000004,20.628057323571106,40.488304,3326
Cell1,cyc0300,C1ch,150,3.3782406000000003,30.94321564167955,40.37595,3276
Cell1,cyc0300,C1ch,200,3.4432051,41.259638907243506,40.213692,3226
Cell1,cyc0300,C1ch,250,3.4944949,51.57698457818264,40.151283,3176
Cell1,cyc0300,C1ch,300,3.5317491999999997,61.89527410476346,40.013962,3126
Cell1,cyc0300,C1ch,350,3.5525620000000004,72.21454292121717,40.051395,3076
Cell1,cyc0300,C1ch,400,3.5674396,82.53476487162274,40.076370000000004,3026
Cell1,cyc0300,C1ch,450,3.5823574000000002,92.8559899116177,40.088875,2976
Cell1,cyc0300,C1ch,500,3.5977964,103.1771050710483,40.138779,2926
Cell1,cyc0300,C1ch,550,3.6147593999999996,113.49817449140079,40.126312,2876
Cell1,cyc0300,C1ch,600,3.6330457000000003,123.8193518986782,40.076370000000004,2826
Cell1,cyc0300,C1ch,650,3.652936,134.14051592409942,40.076370000000004,2776
Cell1,cyc0300,C1ch,700,3.6737888,144.4618299258932,40.151283,2726
Cell1,cyc0300,C1ch,750,3.6952031,154.783152831882,40.088875,2676
Cell1,cyc0300,C1ch,800,3.715775,165.1044126304389,40.101341,2626
Cell1,cyc0300,C1ch,850,3.7349436000000003,175.425831995185,40.026463,2576
Cell1,cyc0300,C1ch,900,3.7513452000000003,185.74721145501368,40.013962,2526
Cell1,cyc0300,C1ch,950,3.7655811000000003,196.0685835653178,40.001495,2476
Cell1,cyc0300,C1ch,1000,3.7772107000000004,206.3899798486701,39.95155,2426
Cell1,cyc0300,C1ch,1050,3.7862735,216.711398958096,39.789291,2376
Cell1,cyc0300,C1ch,1100,3.7932112,227.03289298684692,39.714378,2326
Cell1,cyc0300,C1ch,1150,3.7983441,237.35440301662533,39.577095,2276
Cell1,cyc0300,C1ch,1200,3.8027553999999997,247.67575619030757,39.539654,2226
Cell1,cyc0300,C1ch,1250,3.8063644999999995,257.9970596778937,39.489712,2176
Cell1,cyc0300,C1ch,1300,3.8092116999999996,268.3184030653991,39.389866,2126
Cell1,cyc0300,C1ch,1350,3.8116578999999997,278.6398250842421,39.314987,2076
Cell1,cyc0300,C1ch,1400,3.8137431000000004,288.9612443971048,39.352425,2026
Cell1,cyc0300,C1ch,1450,3.816109200000001,299.2825856297642,39.452273999999996,1976
Cell1,cyc0300,C1ch,1500,3.818475,309.60369923947485,39.414833,1926
Cell1,cyc0300,C1ch,1550,3.8208811000000003,319.92472763152404,39.452273999999996,1876
Cell1,cyc0300,C1ch,1600,3.8240491999999997,330.245831198727,39.51468300000001,1826
Cell1,cyc0300,C1ch,1650,3.8270568999999997,340.5669268456251,39.589558000000004,1776
Cell1,cyc0300,C1ch,1700,3.8307462,350.88821838553537,39.55212,1726
Cell1,cyc0300,C1ch,1750,3.8351974,361.209432434194,39.602062,1676
Cell1,cyc0300,C1ch,1800,3.8397288,371.5306392189128,39.676941,1626
Cell1,cyc0300,C1ch,1850,3.8448217000000002,381.8518490811225,39.739349,1576
Cell1,cyc0300,C1ch,1900,3.850436,392.1729722947354,39.76432,1526
Cell1,cyc0300,C1ch,1950,3.8565714,402.4940198562113,39.789291,1476
Cell1,cyc0300,C1ch,2000,3.8631082,412.8150354051412,39.864166,1426
Cell1,cyc0300,C1ch,2050,3.8698851999999997,423.1360712767267,39.988987,1376
Cell1,cyc0300,C1ch,2100,3.8772237,433.4572533306444,39.876675,1326
Cell1,cyc0300,C1ch,2150,3.8847629999999995,443.7783378725484,40.001495,1276
Cell1,cyc0300,C1ch,2200,3.8929837,454.09951257955595,40.026463,1226
Cell1,cyc0300,C1ch,2250,3.9014051,464.420611232432,39.97652100000001,1176
Cell1,cyc0300,C1ch,2300,3.9102676,474.7416425257669,40.138779,1126
Cell1,cyc0300,C1ch,2350,3.9194508000000003,485.0628320400154,40.213692,1076
Cell1,cyc0300,C1ch,2400,3.9292355000000003,495.3841812395767,40.188721,1026
Cell1,cyc0300,C1ch,2450,3.9393811000000003,505.7056056042446,40.126312,976
Cell1,cyc0300,C1ch,2500,3.9501282999999994,516.0269486145902,40.263599,926
Cell1,cyc0300,C1ch,2550,3.9613568999999997,526.3484515872022,40.201187,876
Cell1,cyc0300,C1ch,2600,3.9723847,536.6699136833258,40.238625,826
Cell1,cyc0300,C1ch,2650,3.9838138,546.9911261668869,40.313541,776
Cell1,cyc0300,C1ch,2700,3.9955232000000014,557.3123856160922,40.28857,726
Cell1,cyc0300,C1ch,2750,4.007353299999999,567.6336409250149,40.350978999999995,676
Cell1,cyc0300,C1ch,2800,4.0195842000000015,577.9547918784892,40.301033000000004,626
Cell1,cyc0300,C1ch,2850,4.0315742,588.2760159747347,40.313541,576
Cell1,cyc0300,C1ch,2900,4.0442066,598.5972113587308,40.28857,526
Cell1,cyc0300,C1ch,2950,4.058322,608.918416407525,40.276104,476
Cell1,cyc0300,C1ch,3000,4.0731597,619.2395579497409,40.363483,426
Cell1,cyc0300,C1ch,3050,4.0869546,629.5606956233859,40.313541,376
Cell1,cyc0300,C1ch,3100,4.100669399999999,639.8818399445732,40.238625,326
Cell1,cyc0300,C1ch,3150,4.1146245000000015,650.2030317862312,40.201187,276
Cell1,cyc0300,C1ch,3200,4.12854,660.5241507543674,40.151283,226
Cell1,cyc0300,C1ch,3250,4.1428161,670.8453320316705,40.126312,176
Cell1,cyc0300,C1ch,3300,4.1581349,681.1665804376289,40.176216,126
Cell1,cyc0300,C1ch,3350,4.1742158,691.4877667739667,40.151283,76
Cell1,cyc0300,C1ch,3400,4.1909781000000015,701.8090838686084,40.126312,26
Cell1,cyc0300,C1ch,3426,4.199800499999999,707.0393485194568,40.126312,0
Cell1,cyc0400,C1ch,0,2.7208812,0.0,40.82372700000001,3403
Cell1,cyc0400,C1ch,50,3.1697127999999997,10.31797150050184,40.725437,3353
Cell1,cyc0400,C1ch,100,3.2961127999999995,20.63614142748684,40.488304,3303
Cell1,cyc0400,C1ch,150,3.3816892999999997,30.95432010488214,40.338512,3253
Cell1,cyc0400,C1ch,200,3.4464532999999995,41.27257455351766,40.201187,3203
Cell1,cyc0400,C1ch,250,3.4973421,51.59078090109253,40.076370000000004,3153
Cell1,cyc0400,C1ch,300,3.5342355000000003,61.90999836758761,40.026463,3103
Cell1,cyc0400,C1ch,350,3.5551283,72.22919708137681,39.97652100000001,3053
Cell1,cyc0400,C1ch,400,3.5706077000000005,82.54925951709325,40.076370000000004,3003
Cell1,cyc0400,C1ch,450,3.5856056000000005,92.8696859832967,40.076370000000004,2953
Cell1,cyc0400,C1ch,500,3.6014457,103.1901532502306,40.101341,2903
Cell1,cyc0400,C1ch,550,3.6189299,113.51056118027071,40.138779,2853
Cell1,cyc0400,C1ch,600,3.6374969,123.8310763524679,40.16375,2803
Cell1,cyc0400,C1ch,650,3.6575077000000014,134.1515967010735,40.088875,2753
Cell1,cyc0400,C1ch,700,3.6788816,144.47212969424783,40.188721,2703
Cell1,cyc0400,C1ch,750,3.699935,154.7925886602648,40.126312,2653
Cell1,cyc0400,C1ch,800,3.7205071000000003,165.1129628186476,40.101341,2603
Cell1,cyc0400,C1ch,850,3.7389938999999996,175.43329058281108,40.013962,2553
Cell1,cyc0400,C1ch,900,3.7547938999999997,185.753595189026,40.013962,2503
Cell1,cyc0400,C1ch,950,3.7681477,196.07385357761643,39.914112,2453
Cell1,cyc0400,C1ch,1000,3.7790953999999997,206.39409213160198,39.889140999999995,2403
Cell1,cyc0400,C1ch,1050,3.7874765,216.7143748984069,39.701912,2353
Cell1,cyc0400,C1ch,1100,3.7940532999999994,227.0346206428596,39.602062,2303
Cell1,cyc0400,C1ch,1150,3.7991061,237.35486995047333,39.564629,2253
Cell1,cyc0400,C1ch,1200,3.8032765,247.6751825933194,39.452273999999996,2203
Cell1,cyc0400,C1ch,1250,3.8070862,257.9955463944804,39.389866,2153
Cell1,cyc0400,C1ch,1300,3.8098133,268.3158214218512,39.402332,2103
Cell1,cyc0400,C1ch,1350,3.8126203999999997,278.6361266335585,39.402332,2053
Cell1,cyc0400,C1ch,1400,3.8145852,288.9564434700419,39.364891,2003
Cell1,cyc0400,C1ch,1450,3.8170714,299.2768425510118,39.33992,1953
Cell1,cyc0400,C1ch,1500,3.8191568999999994,309.5971932070549,39.352425,1903
Cell1,cyc0400,C1ch,1550,3.8221644999999995,319.9175616596103,39.452273999999996,1853
Cell1,cyc0400,C1ch,1600,3.8252122,330.2378633581,39.477245,1803
Cell1,cyc0400,C1ch,1650,3.8285004999999996,340.5580761023628,39.55212,1753
Cell1,cyc0400,C1ch,1700,3.8323902999999997,350.87824698732834,39.602062,1703
Cell1,cyc0400,C1ch,1750,3.8366411,361.198332133572,39.614529,1653
Cell1,cyc0400,C1ch,1800,3.8417339,371.51839343016564,39.676941,1603
Cell1,cyc0400,C1ch,1850,3.8468671000000003,381.8384516891208,39.801758,1553
Cell1,cyc0400,C1ch,1900,3.8528821000000004,392.1587478365852,39.751853999999994,1503
Cell1,cyc0400,C1ch,1950,3.8589776,402.47904570153463,39.8517,1453
Cell1,cyc0400,C1ch,2000,3.8656344,412.79916276278686,39.901646,1403
Cell1,cyc0400,C1ch,2050,3.8726922999999993,423.11926272720666,39.901646,1353
Cell1,cyc0400,C1ch,2100,3.8799508,433.4394778173557,39.988987,1303
Cell1,cyc0400,C1ch,2150,3.8878907999999996,443.7595131996935,39.988987,1253
Cell1,cyc0400,C1ch,2200,3.8959513,454.0796716354404,40.051395,1203
Cell1,cyc0400,C1ch,2250,3.9045329,464.39981817139017,40.101341,1153
Cell1,cyc0400,C1ch,2300,3.9138764999999998,474.71989826931417,40.113808,1103
Cell1,cyc0400,C1ch,2350,3.9231,485.04009003328116,40.201187,1053
Cell1,cyc0400,C1ch,2400,3.9330852,495.36035180041847,40.151283,1003
